,sents,labels
0,huit cent soixante douze; trois cent quarante huit,0
21074,deux cent soixante seize; cinq cent quatre vingts,1
21075,neuf cent cinquante sept; six cent vingt six,0
21076,trois cent vingt quatre; cinquante cinq,0
21077,huit cent soixante dix; cinq cent trente trois,0
21078,cent dix huit; trois cent douze,1
21079,quatre cent soixante seize; cinq cent trente cinq,1
21080,neuf cent onze; cinq cent cinquante cinq,0
21081,huit cent quinze; six cent cinquante trois,0
21082,deux cent quatre vingt quinze; deux cent vingt trois,0
21083,cinq cent trente deux; cinquante et un,0
21084,neuf cent douze; six cent cinquante neuf,0
21085,cinq cent quarante cinq; quatre cent quatre vingt dix,0
21086,cent soixante dix sept; deux cent soixante neuf,1
21087,quatre cent cinquante neuf; cent sept,0
21088,deux cent vingt trois; vingt sept,0
21089,cent dix; quatre cent quarante,1
21090,cent quarante deux; neuf cent vingt huit,1
21091,cinq cent cinquante deux; sept cent quarante six,1
21092,neuf cent quatre vingt treize; neuf cent douze,0
21093,sept cent soixante et onze; cinq cent trente,0
21094,deux cent vingt quatre; cent quarante neuf,0
21095,quatre vingt dix sept; cent quatre vingt six,1
21096,neuf cent huit; trois cent quatre vingt un,0
21097,neuf cent quarante neuf; quatre vingt onze,0
21098,soixante dix; six cent vingt cinq,1
21099,deux cent quarante deux; six cent trente cinq,1
21100,deux cent quatre vingt six; quatre cent neuf,1
21101,neuf cent soixante dix; deux cent vingt,0
21102,trois cent soixante dix neuf; cent cinquante,0
21103,sept cent vingt cinq; deux cent quatre vingt dix huit,0
21104,deux cent soixante seize; huit cent quatre vingt trois,1
21105,sept cent quatre vingt quatre; neuf cent trente trois,1
21106,neuf cent quatre vingt seize; neuf cent vingt six,0
21107,huit cent trente cinq; quatre cent quatre vingt treize,0
21108,neuf cent quatre vingt deux; huit cent sept,0
21109,cent trente cinq; six cent soixante seize,1
21110,huit cent quatorze; six cent trente cinq,0
21111,cinq; vingt et un,1
21112,neuf cent vingt cinq; cinq cent quarante et un,0
21113,huit cent quarante huit; huit cent trente et un,0
21114,six cent vingt; huit cent quatre vingt huit,1
21115,deux cent quatre vingt sept; neuf cent soixante quinze,1
21116,six cent trente cinq; deux cent vingt sept,0
21117,cent dix sept; cent trente,1
21118,sept cent quarante quatre; deux cent quatre vingt sept,0
21119,huit cent quatre vingt treize; neuf cent soixante trois,1
21120,trois cent quatorze; deux cent vingt quatre,0
21121,cinq cent quatre vingt dix huit; dix neuf,0
21122,deux cent quarante huit; huit cent soixante dix,1
21123,six cent trente neuf; huit cent quarante,1
21124,cent cinquante et un; cinq cent neuf,1
21125,quatre cent vingt huit; quatre cent sept,0
21126,quatre cent vingt trois; deux cent quatre vingt huit,0
21127,deux cent vingt et un; neuf cent quarante six,1
21128,six cent vingt six; cinq cent quatre vingt neuf,0
21129,trente et un; trois cent soixante dix neuf,1
21130,six cent soixante et onze; cent dix sept,0
21131,neuf cent vingt neuf; sept cent cinquante six,0
21132,quatre cent six; neuf cent quatre vingt deux,1
21133,huit cent quatre vingt six; sept cent quatre vingt onze,0
21134,sept cent vingt; deux cent soixante quinze,0
21135,cinq cent quatre vingt quinze; trois cent seize,0
21136,cinq cent vingt; quatre cent sept,0
21137,six cent soixante seize; neuf cent quatre vingt sept,1
21138,sept cent quatre vingt dix sept; huit cent seize,1
21139,trois cent cinquante quatre; cinquante trois,0
21140,deux cent quatorze; neuf cent trente neuf,1
21141,sept; neuf cent quarante et un,1
21142,cinq cent trente et un; sept cent soixante huit,1
21143,onze; quatre cent soixante seize,1
21144,deux cent quatorze; cinq cent quatre vingt sept,1
21145,quatre cent quarante cinq; huit cent trente huit,1
21146,sept cent quatre vingt quatre; cinq cent quatre vingt neuf,0
21147,vingt; six cent quatre vingt neuf,1
21148,deux cent quatre vingt onze; sept cent quarante deux,1
21149,huit cent trente quatre; soixante quatre,0
21150,neuf cent soixante quatorze; deux cent soixante treize,0
21151,cent dix neuf; trois cent onze,1
21152,trois cent soixante cinq; sept cent trente six,1
21153,sept cent deux; quatre cent quatre vingt dix sept,0
21154,six cent vingt deux; sept,0
21155,sept cent quatre vingt douze; trois cent quatre vingt quinze,0
21156,cinquante trois; quatre cent soixante sept,1
21157,sept cents; huit cent vingt deux,1
21158,neuf cent cinquante sept; six cent cinquante trois,0
21159,dix sept; deux cent quatre vingt onze,1
21160,cinq cent soixante sept; trois cent quatre vingt dix,0
21161,dix; six cent dix,1
21162,quatre vingt dix huit; deux cent cinquante six,1
21163,deux cent trente cinq; trois cent treize,1
21164,trois cent quatre vingt seize; neuf cent sept,1
21165,huit cent trente six; deux cent vingt trois,0
21166,cinq cent quatorze; cinq cent cinq,0
21167,neuf cent trente deux; deux cent quarante,0
21168,trois cent quarante sept; quatre cent trente huit,1
21169,trois cent soixante seize; trois cent quinze,0
21170,quatre cent quatre vingt dix; cinq cent dix,1
21171,vingt deux; trois cent six,1
21172,cinq cent soixante seize; neuf cent trente six,1
21173,neuf cent quatre vingt quatorze; six cent treize,0
21174,cent soixante quinze; cinq cent soixante seize,1
21175,six cent cinquante cinq; deux cent trente huit,0
21176,neuf cent quatre vingt treize; quatre cent cinquante neuf,0
21177,cinq cent quarante cinq; quarante,0
21178,sept cent soixante douze; cinq cent trente trois,0
21179,neuf cent quarante cinq; trois cent trente neuf,0
21180,six cent douze; quarante quatre,0
21181,quatre cent quarante quatre; soixante deux,0
21182,cinq cents; quatre cent quarante deux,0
21183,huit cent quatre vingt dix; six cent quatre vingt treize,0
21184,trois cent trois; neuf cent cinquante cinq,1
21185,deux cent vingt et un; huit cent quarante quatre,1
21186,quatre cent dix huit; huit cent soixante et un,1
21187,huit cent cinquante quatre; trois cent quarante et un,0
21188,neuf cent soixante; cent quatre vingt douze,0
21189,cinq cent un; neuf cent quatre vingt onze,1
21190,sept cent soixante treize; cinq cent trente deux,0
21191,deux cent soixante dix sept; sept cent quatre vingt seize,1
21192,quatre cent trente quatre; sept cent vingt trois,1
21193,trois cent quarante neuf; cinq cent quarante,1
21194,quatre cent vingt six; quatre vingt dix sept,0
21195,quatre cent huit; soixante,0
21196,trois cent trente six; huit cent quarante et un,1
21197,cinq cent quarante trois; sept cent soixante trois,1
21198,huit cent cinquante trois; huit cent trente et un,0
21199,six; trois cent quatre vingt sept,1
21200,neuf cent soixante dix sept; deux cent trente huit,0
21201,six cent cinquante deux; dix huit,0
21202,neuf cent quatre vingt quinze; six cents,0
21203,huit cent trente deux; neuf cent soixante quinze,1
21204,neuf cent quatre vingt trois; six,0
21205,huit cent vingt cinq; cinq cent quatre vingt un,0
21206,onze; trois cent deux,1
21207,cent quatre vingt dix sept; soixante dix,0
21208,six cent un; neuf cent soixante six,1
21209,trois cent cinquante deux; soixante dix neuf,0
21210,quatre cent soixante douze; sept cent quatre vingt dix sept,1
21211,huit cent soixante quinze; cinq cent soixante neuf,0
21212,trois cent cinquante; soixante six,0
21213,sept cent trente sept; trois cent trente,0
21214,trois cent quarante huit; huit cent deux,1
21215,neuf cent trente et un; sept cent soixante douze,0
21216,sept cent vingt quatre; soixante trois,0
21217,deux; deux cent quatre vingt douze,1
21218,sept cent vingt et un; cent soixante deux,0
21219,six cent soixante dix; sept cent vingt sept,1
21220,neuf cent quatre vingt cinq; deux cent soixante sept,0
21221,six cent soixante dix sept; huit cent quatre vingt douze,1
21222,sept cent soixante cinq; sept cent huit,0
21223,deux cent soixante trois; cinq cent douze,1
21224,six cent quatorze; cent quarante,0
21225,huit cent quarante deux; sept cent vingt deux,0
21226,trois cent vingt huit; deux cent cinquante deux,0
21227,huit cent quatre; quatre cent quarante trois,0
21228,cent soixante dix; cinq cent dix huit,1
21229,soixante huit; cent,1
21230,cinq cent soixante dix; deux cent quatre vingt neuf,0
21231,neuf cent quarante; deux cent soixante,0
21232,cent quatre vingt dix huit; quatre cent soixante quinze,1
21233,trois cent quarante huit; huit cent sept,1
21234,cinq cent vingt quatre; quatre vingt onze,0
21235,cinquante cinq; quatre cent sept,1
21236,cent; six cent onze,1
21237,cinq cent trente et un; cent vingt quatre,0
21238,cinq cent seize; huit cent quatre vingt dix sept,1
21239,deux cent neuf; neuf cent cinquante six,1
21240,neuf cent quarante cinq; deux cent vingt six,0
21241,sept cent soixante sept; cent quarante trois,0
21242,six cent seize; trois cent soixante dix sept,0
21243,huit cent quarante; six cent huit,0
21244,six cent soixante neuf; trois cent quatorze,0
21245,quatre cent quarante huit; neuf cent trente neuf,1
21246,quatre cent sept; sept cent soixante treize,1
21247,neuf cent quatre vingt quatre; quatre cent soixante douze,0
21248,trois cent cinquante huit; cent dix neuf,0
21249,onze; trente cinq,1
21250,six cent soixante treize; deux cent quatre,0
21251,trois cent cinq; cinq cent soixante trois,1
21252,trois cent trente neuf; quatre cent soixante cinq,1
21253,neuf cent soixante dix sept; cinq cent quarante neuf,0
21254,trois cent quarante; deux cent trente neuf,0
21255,sept cent quatre vingt sept; cinquante sept,0
21256,quatre cent quinze; neuf cent dix,1
21257,huit cent vingt six; cent soixante dix huit,0
21258,quatre cent cinquante trois; six cent quatre vingt onze,1
21259,quatre cent soixante trois; soixante et onze,0
21260,deux cent quarante sept; huit cent vingt neuf,1
21261,quatre cents; cent soixante et un,0
21262,cent soixante quatorze; huit cent soixante cinq,1
21263,cent soixante douze; quatre vingt onze,0
21264,six cent soixante deux; onze,0
21265,trente; neuf cent quatre vingt neuf,1
21266,deux cent vingt cinq; cinq cent quatre vingt dix neuf,1
21267,deux; six cent quatre vingt dix neuf,1
21268,huit cent soixante six; quatre cent soixante dix,0
21269,cent soixante et un; soixante neuf,0
21270,huit cent cinquante trois; neuf cent vingt deux,1
21271,cinq cent deux; cent dix huit,0
21272,huit cent trois; sept cent soixante douze,0
21273,sept cent quatre vingt neuf; huit cent soixante seize,1
21274,quatre cent soixante neuf; sept cent cinquante deux,1
21275,deux cent quatre vingts; cinq cent un,1
21276,sept cent quatre vingt dix sept; neuf cent soixante dix neuf,1
21277,quatre vingt deux; sept cent six,1
21278,quatre cent huit; sept cent quatre vingt quatre,1
21279,quarante neuf; deux cent trente six,1
21280,six cent onze; trois cent soixante treize,0
21281,quatre cent trente quatre; neuf cent quatre vingt cinq,1
21282,quatre cent quatre vingt onze; sept cent onze,1
21283,neuf cent quatre vingts; quatre cent quatre vingt quatorze,0
21284,six cent vingt six; deux cent vingt trois,0
21285,trois cent trente et un; sept cent soixante quatorze,1
21286,six cent trente cinq; six cent quatre vingt douze,1
21287,douze; six cent quatre vingt quinze,1
21288,deux cent trente trois; sept cent vingt deux,1
21289,neuf cent vingt neuf; trois cent soixante dix neuf,0
21290,quatre cent quatre vingt neuf; cent soixante huit,0
21291,neuf cent cinquante six; cinq cent quatre vingt huit,0
21292,trois cent soixante quinze; deux cent trente huit,0
21293,neuf cent dix sept; six cent trente cinq,0
21294,six cent huit; neuf cent quatre vingt quinze,1
21295,neuf cent quatre vingt sept; deux cent soixante huit,0
21296,cent soixante treize; deux cent vingt cinq,1
21297,quatre vingt sept; huit cent vingt,1
21298,huit cent quatorze; huit cent vingt et un,1
21299,trois cent soixante six; huit cent vingt trois,1
21300,six cent cinquante deux; trente sept,0
21301,neuf cent soixante; deux cent quatre vingt seize,0
21302,neuf cent huit; neuf cent soixante neuf,1
21303,trois cent deux; trois cent vingt neuf,1
21304,deux cent trente neuf; sept cent vingt,1
21305,deux cent quatre vingt un; cinq cent quatre vingt onze,1
21306,trois cent vingt deux; deux cents,0
21307,cinquante sept; huit cent quarante quatre,1
21308,neuf cent quatre vingt onze; six cent quatre vingt quatre,0
21309,six cent vingt six; cent cinquante neuf,0
21310,quatre cent quatre vingt quinze; huit cent vingt quatre,1
21311,cinq cent trente sept; six cent quarante six,1
21312,cinq cent quatre vingt quatre; trente cinq,0
21313,cinq cent soixante neuf; sept cent quatre vingt quinze,1
21314,trois cent quarante sept; cent dix sept,0
21315,trois cent vingt sept; trois cent quatre vingt cinq,1
21316,neuf cent trente deux; quatre cent neuf,0
21317,trois cent soixante huit; cent quatre vingt trois,0
21318,quatre cent cinquante et un; sept cent cinq,1
21319,cinq cent soixante neuf; huit cent soixante quatorze,1
21320,neuf cent trente six; sept cent vingt huit,0
21321,trois cent cinquante neuf; deux cent soixante dix neuf,0
21322,trois cent trente deux; cent soixante seize,0
21323,six cent quarante deux; deux cent soixante seize,0
21324,six cent soixante cinq; cinq cent trente trois,0
21325,neuf cent cinquante huit; six cent vingt,0
21326,trois cent vingt huit; six cent soixante dix,1
21327,cinq cent trente huit; cent huit,0
21328,sept cent trente six; quarante et un,0
21329,cent quatre vingt douze; six cent soixante treize,1
21330,quatre cent soixante trois; sept cent quatre vingt quatorze,1
21331,six cent soixante dix; neuf cent quatre vingt treize,1
21332,six cent quatre vingt quinze; trois cent six,0
21333,sept cent quatre vingts; deux cent quatre vingt treize,0
21334,cent huit; neuf cent soixante quatre,1
21335,sept cent cinquante quatre; neuf cent quatre vingt onze,1
21336,cinq cent trois; six cent vingt,1
21337,cent soixante neuf; quatre vingt seize,0
21338,huit cent soixante dix huit; sept cent seize,0
21339,cinq cent cinquante cinq; cinq cent trente six,0
21340,deux cent soixante huit; quatre cent quatre vingt cinq,1
21341,cinq cent cinquante neuf; quatre cent sept,0
21342,neuf cent quatre; deux cent cinquante deux,0
21343,sept cent cinquante quatre; deux cent vingt et un,0
21344,soixante dix; deux cent quatre vingt un,1
21345,quatre cent quatre vingt douze; quatorze,0
21346,quatre cent vingt cinq; sept cent quatre vingts,1
21347,cinq cent trente sept; deux cent quatre vingt quatre,0
21348,sept cent seize; sept cent soixante dix neuf,1
21349,quatre cent trente huit; trois cent soixante deux,0
21350,deux cent quatre vingt deux; trois cent cinquante,1
21351,trois cent sept; huit cent cinquante sept,1
21352,quatre cent vingt sept; huit cent soixante sept,1
21353,cinq cent quatre vingt six; quinze,0
21354,cent seize; six cent soixante deux,1
21355,cent trente deux; neuf cent cinquante neuf,1
21356,neuf cent soixante quatre; deux cent quatre vingt quatre,0
21357,cent soixante deux; six cent six,1
21358,cent trente huit; six cent vingt trois,1
21359,trois cent vingt deux; cinq cent quarante et un,1
21360,cent soixante dix; quatre vingt deux,0
21361,cent quatre vingt deux; neuf cent soixante et onze,1
21362,huit cent cinquante six; cent cinquante cinq,0
21363,six cent vingt quatre; sept cent quatre vingt dix huit,1
21364,neuf cent quarante sept; deux cent soixante treize,0
21365,sept cent trente sept; quatre cent quatre vingt dix sept,0
21366,six cent soixante dix; quatre cent trois,0
21367,quatre cent quatre vingts; quatre cent quarante quatre,0
21368,cent quatre vingt onze; six cent trente cinq,1
21369,sept cent quatre vingt douze; cent cinquante sept,0
21370,cinq cent soixante huit; huit cent trente,1
21371,neuf cent soixante seize; trois cent soixante cinq,0
21372,sept cent vingt six; cinq cent quatre vingt douze,0
21373,trois cent soixante dix; neuf cent quatre vingt quatorze,1
21374,quatre vingt sept; neuf cent cinquante neuf,1
21375,cinquante sept; quatre vingt huit,1
21376,quarante trois; quatre vingt dix huit,1
21377,neuf cent quarante trois; neuf cent quatre vingt dix huit,1
21378,cinq; quatre cent quatre vingt un,1
21379,cent quatre vingt huit; six cent soixante neuf,1
21380,sept cent seize; neuf cent quatre vingt seize,1
21381,cent soixante six; neuf cent cinquante six,1
21382,sept cent soixante quatre; sept cent soixante neuf,1
21383,huit cent cinquante neuf; six cent neuf,0
21384,deux cent quatre vingt quatorze; six cent cinquante,1
21385,six cent cinquante six; deux cent vingt trois,0
21386,neuf cent cinquante huit; quatre cent soixante seize,0
21387,sept cent cinquante trois; quatre vingt dix huit,0
21388,deux cent vingt quatre; deux cent vingt et un,0
21389,deux cent quinze; cinq cent trente neuf,1
21390,trois cent soixante sept; quatre cent quarante cinq,1
21391,cinq cent cinquante six; onze,0
21392,neuf cent quatre vingt cinq; trois cent cinquante neuf,0
21393,six cent quarante neuf; huit cent cinquante et un,1
21394,cinq cent quarante trois; sept cent dix neuf,1
21395,cinq cent quarante huit; cinq cent trente quatre,0
21396,trois cent neuf; quatre vingt quatre,0
21397,cinq cent dix sept; cinq cent soixante et onze,1
21398,neuf cent cinquante trois; sept cent vingt sept,0
21399,deux cent trente huit; cinq cent quarante deux,1
21400,quarante huit; cent quarante cinq,1
21401,quatre cent trente quatre; neuf cent quatre vingt dix,1
21402,quatorze; trois cents,1
21403,cent vingt et un; huit cent quatre vingt six,1
21404,trois cent cinquante sept; cinquante neuf,0
21405,trois cent dix; neuf cent soixante dix sept,1
21406,vingt et un; trente cinq,1
21407,neuf cent quatre; sept cent six,0
21408,deux; cinq cent quatre vingt douze,1
21409,trois cent seize; trois cent soixante,1
21410,huit cent quatre vingt sept; cent dix sept,0
21411,neuf cent vingt six; neuf cent cinquante sept,1
21412,neuf cent quatre vingt dix sept; cent soixante et onze,0
21413,cent neuf; six cent vingt six,1
21414,sept cent quarante; quatre cents,0
21415,quatre cent quatre vingt quatorze; huit cent trente huit,1
21416,cinq cent soixante dix sept; sept cent quatre vingts,1
21417,huit cent vingt sept; quatre cent quarante deux,0
21418,trois cent quatre vingt cinq; quatorze,0
21419,huit cent soixante dix huit; sept cent quarante deux,0
21420,six cent quatre vingt treize; deux cent trente trois,0
21421,quatre vingt cinq; cinq cent vingt,1
21422,huit cent soixante dix sept; deux cent trente huit,0
21423,cent quatre; six cent vingt six,1
21424,deux cent quatre vingt deux; huit cent trente,1
21425,six cent cinquante; six cent quatre vingt quinze,1
21426,sept cent soixante; sept cent cinquante six,0
21427,cent quarante sept; deux cent trente sept,1
21428,quatre cent vingt huit; quatre cent quarante huit,1
21429,trente quatre; six cent cinquante trois,1
21430,cinq cent soixante et onze; sept cent quatre vingt quatorze,1
21431,cinq cent quatre vingt sept; cinq cent cinquante huit,0
21432,cent soixante et onze; sept cent dix,1
21433,cent trente deux; huit cent quatre vingt dix huit,1
21434,soixante six; sept cent soixante dix neuf,1
21435,cent soixante neuf; neuf cent quinze,1
21436,trois cent onze; deux cent trente cinq,0
21437,cinq cent vingt cinq; cinq cent vingt sept,1
21438,huit cent soixante douze; huit cent deux,0
21439,cent cinquante huit; cinq cent quatre vingt sept,1
21440,neuf cent cinquante quatre; neuf cent trente quatre,0
21441,quatre cent quarante sept; cinq cent quarante,1
21442,quatre cent quatre vingt dix; deux cent trente cinq,0
21443,deux cent quatre vingt dix huit; trois cent quatorze,1
21444,trois cent quinze; sept cent quatre vingts,1
21445,quatre cent quarante et un; sept cent trois,1
21446,neuf cent soixante dix sept; cinq cent vingt cinq,0
21447,huit cent quarante sept; neuf cent cinquante deux,1
21448,cinq cent vingt trois; soixante trois,0
21449,trois cent quatre vingt dix neuf; deux cent quarante cinq,0
21450,trois cent dix neuf; trois cent vingt deux,1
21451,cinq cent vingt cinq; trois cent soixante six,0
21452,deux cent quatre vingt deux; cinq cent quatre vingt onze,1
21453,neuf cent dix huit; huit cent soixante deux,0
21454,six cent quatre vingt onze; huit cent cinquante trois,1
21455,quatre vingt huit; six cent quinze,1
21456,cent cinquante; cinq cent soixante dix sept,1
21457,cinq cent treize; huit cent soixante quatre,1
21458,deux cent quarante deux; quatre cent quatre vingt quatorze,1
21459,quatre cent soixante quinze; huit cent quarante deux,1
21460,quarante sept; sept cent trente trois,1
21461,trois cent dix neuf; trois cent quarante neuf,1
21462,cent quatre vingt un; sept cent quarante,1
21463,trois cent douze; quatre cent trente six,1
21464,trente sept; quatre vingt quatorze,1
21465,sept cent soixante dix sept; sept cent quatre vingt onze,1
21466,deux cent soixante six; cent soixante,0
21467,huit cent soixante cinq; huit cent vingt neuf,0
21468,neuf cent trente sept; quatre cent soixante dix huit,0
21469,quarante; huit cent soixante et un,1
21470,trois cent quatre vingt six; six cent soixante deux,1
21471,neuf cent cinquante; huit cent vingt cinq,0
21472,quatre cent cinquante six; neuf cent trois,1
21473,trois cent cinquante; trois cent vingt neuf,0
21474,sept cent vingt huit; cent quatre,0
21475,trois cent soixante et un; cent trente neuf,0
21476,cent; sept cent trente huit,1
21477,cent cinq; deux cent quatre vingt dix huit,1
21478,six cent soixante quatorze; quatre cent vingt neuf,0
21479,sept cent quarante quatre; trois cent quatre vingt deux,0
21480,six cent soixante dix sept; cent cinquante huit,0
21481,cent trente; cent soixante seize,1
21482,quatre vingt neuf; neuf cent quatre,1
21483,six cent quatre vingt seize; six cent quarante et un,0
21484,quatre cent quarante neuf; cinq cents,1
21485,deux cent quarante six; quarante neuf,0
21486,sept cent un; neuf cent cinquante deux,1
21487,sept cent trente six; cinq cent quatre vingt dix huit,0
21488,neuf cent cinquante neuf; cent six,0
21489,cinq cent cinquante six; quatre cent trente neuf,0
21490,cent douze; cent cinquante trois,1
21491,quatre cent vingt neuf; sept cent quatre,1
21492,cinq cent seize; trois cent quinze,0
21493,cinq cent quatre vingt huit; sept cent soixante douze,1
21494,dix sept; sept cent quatre vingt cinq,1
21495,quatre cent deux; quatre cent vingt cinq,1
21496,neuf cent vingt quatre; cinq cent quatre vingt huit,0
21497,deux cent quarante et un; vingt huit,0
21498,neuf cent soixante dix huit; six cent cinquante cinq,0
21499,trois cent cinq; quatre cent trente sept,1
21500,trente six; mille,1
21501,sept cent vingt huit; trois cent trois,0
21502,six cent soixante sept; soixante et un,0
21503,cent vingt; trois cent quarante quatre,1
21504,huit cent quarante et un; six cent cinquante cinq,0
21505,quatre cent onze; huit cent trente neuf,1
21506,sept cent trente huit; sept cent quatre vingt six,1
21507,neuf cent vingt six; deux cent soixante quatre,0
21508,cent cinquante; trois cent quatre vingt quatorze,1
21509,quatre cent trente huit; deux cent trente sept,0
21510,cent soixante douze; deux cent quatre,1
21511,trente et un; deux cent soixante deux,1
21512,cent quatre vingt six; neuf cent neuf,1
21513,neuf cent cinquante et un; quatre cent vingt deux,0
21514,huit cent soixante dix huit; quatre vingt quinze,0
21515,huit cent quarante et un; six cent quatre vingt six,0
21516,huit cent quarante huit; trois cent six,0
21517,neuf cent quatre vingt quatorze; sept cent trente neuf,0
21518,huit cent trente deux; cinq cent quatre vingts,0
21519,huit cent vingt six; cinq cent dix,0
21520,trois cent quarante; neuf cent soixante douze,1
21521,neuf cent cinquante; sept cent cinquante trois,0
21522,deux cent soixante dix sept; huit cent six,1
21523,trois cent trente quatre; deux cent trente trois,0
21524,quatre vingt dix huit; sept cent quarante quatre,1
21525,quatre cent cinquante sept; cinq cent neuf,1
21526,cinq cent soixante neuf; six cent vingt six,1
21527,trois cent vingt; cinq cent cinquante huit,1
21528,quatre cent quarante quatre; six cent soixante seize,1
21529,cinq cent quatre vingt trois; sept cent douze,1
21530,cent soixante dix sept; quatre cent vingt deux,1
21531,cinq cent quarante neuf; sept cent cinquante,1
21532,six cent cinquante trois; quatre cent un,0
21533,sept cent quatre vingt quatre; soixante quatorze,0
21534,soixante huit; trois cent treize,1
21535,huit cent quarante sept; trois cent quatre vingt cinq,0
21536,cinquante sept; sept cent quatre vingt dix neuf,1
21537,quatre cent quatre vingt onze; trois cent vingt sept,0
21538,huit cent soixante deux; six cent quarante et un,0
21539,cent vingt huit; trois cent cinquante trois,1
21540,six cent quatre vingt huit; deux cent quarante neuf,0
21541,trente deux; deux cent cinquante deux,1
21542,deux cent soixante neuf; cinquante,0
21543,deux cent soixante dix sept; soixante treize,0
21544,deux cent vingt six; trente,0
21545,trois cent quatre vingt quatre; neuf cent cinquante cinq,1
21546,six cent cinq; sept cent quatre vingt treize,1
21547,quatre cent cinquante trois; trois cent dix neuf,0
21548,neuf cent cinquante; cent trente trois,0
21549,six cent soixante deux; deux cent cinquante huit,0
21550,trois cent quarante deux; deux cent quatre vingt huit,0
21551,cinq cent soixante dix huit; soixante huit,0
21552,cinq cent quatorze; quatre cent cinquante six,0
21553,neuf cents; quatre cent quatre vingt quatorze,0
21554,quatre cent seize; quatre vingt neuf,0
21555,quatre cent neuf; six cent quarante trois,1
21556,trois cent quarante deux; deux cent cinquante et un,0
21557,deux cent quarante quatre; cent trente six,0
21558,deux cent sept; soixante dix sept,0
21559,mille; cinq cent douze,0
21560,deux cent quarante; deux cent quarante six,1
21561,cent vingt; six cent onze,1
21562,six cent quinze; huit cent treize,1
21563,sept cent soixante neuf; trois cent quarante deux,0
21564,cent trente neuf; cent quatre vingt quatorze,1
21565,neuf cent treize; quatre vingt seize,0
21566,neuf cent cinq; trois cent seize,0
21567,deux cent quatre vingt cinq; neuf cent quatre vingt deux,1
21568,deux cent cinq; cent quatorze,0
21569,cent huit; huit cent treize,1
21570,cinq cent trente; neuf cent quatre vingt neuf,1
21571,deux cent neuf; six cent vingt sept,1
21572,trente deux; sept cent quarante quatre,1
21573,sept cent soixante neuf; huit cent cinquante neuf,1
21574,deux cent cinquante; cinq cent soixante cinq,1
21575,sept cent onze; trois cent trente deux,0
21576,six cent quinze; sept cent quatre vingt dix neuf,1
21577,huit cent soixante dix sept; neuf cent un,1
21578,deux cent quatre vingt deux; huit cent trente,1
21579,cinq cent six; sept cent cinq,1
21580,cinq cent vingt neuf; quatre cent trente neuf,0
21581,vingt sept; six cent cinquante huit,1
21582,quatre cent quatre vingt trois; cent cinquante neuf,0
21583,cinq cent vingt quatre; neuf cent soixante,1
21584,trois cent quatre vingt onze; cinq,0
21585,neuf cent cinquante quatre; quatre vingt dix neuf,0
21586,trois cent soixante six; trois cent soixante douze,1
21587,sept cent soixante huit; trois cent trente cinq,0
21588,trois cent trois; neuf cent quatre vingt quinze,1
21589,cinq cent dix; neuf cent vingt quatre,1
21590,neuf cent vingt deux; cinquante cinq,0
21591,sept cent quatre vingt deux; huit cent cinquante trois,1
21592,sept; cent vingt et un,1
21593,neuf cent trente six; quatre cent soixante quatorze,0
21594,huit cent vingt trois; six cent quinze,0
21595,neuf cent trente cinq; six cent trente trois,0
21596,deux cent trente quatre; deux cent quarante quatre,1
21597,huit cent neuf; cinq cent trente six,0
21598,neuf cent vingt trois; cinq cent quatre vingt dix huit,0
21599,quatre cent vingt deux; trois cent quatre vingt trois,0
21600,cinq cent cinquante neuf; six cent quatre vingt quinze,1
21601,neuf cent quatre vingt quatre; deux cent quarante cinq,0
21602,deux cent vingt huit; cinq cent soixante dix huit,1
21603,quatre cent soixante neuf; neuf cent quatre vingt onze,1
21604,trois cent quatre vingt quinze; cinq cent soixante cinq,1
21605,deux cent deux; six cent soixante huit,1
21606,huit cent quarante quatre; huit cent soixante six,1
21607,six cent trois; cinq cent soixante huit,0
21608,cent vingt trois; deux cent quarante neuf,1
21609,cent quatre vingt trois; quatre vingt neuf,0
21610,deux cent trente cinq; cent quarante quatre,0
21611,dix sept; sept cent quatre vingt huit,1
21612,neuf cent quatre vingt dix neuf; neuf cent neuf,0
21613,neuf cent quarante cinq; six cent un,0
21614,sept cent cinquante et un; deux cent quatre vingt dix neuf,0
21615,cent trente trois; six cent soixante six,1
21616,deux cent huit; quatre cent vingt sept,1
21617,neuf cent vingt quatre; huit cent quarante six,0
21618,trois cent vingt huit; sept cent vingt trois,1
21619,sept cent soixante quinze; cinq cent trente et un,0
21620,huit cent seize; sept cent cinquante quatre,0
21621,quinze; huit cent quarante trois,1
21622,mille; deux cent vingt trois,0
21623,deux cent quarante deux; sept cent vingt et un,1
21624,deux cent soixante; sept cent soixante neuf,1
21625,sept cent soixante dix huit; trois cent soixante et un,0
21626,quatre cent soixante dix neuf; sept cent quatre vingt six,1
21627,cinquante six; cent soixante quinze,1
21628,quatre cent quarante six; trois cent quatre vingt seize,0
21629,quatre cent dix huit; six cent trente deux,1
21630,quatre cent quatre vingt deux; quatre vingt dix neuf,0
21631,trois cent quatre vingt un; neuf cent quarante deux,1
21632,cinq cent cinquante quatre; neuf cent cinquante et un,1
21633,quatre cent soixante et onze; sept cent sept,1
21634,trois cent vingt et un; huit cent quatre vingt sept,1
21635,huit cent soixante douze; deux cent quatre vingt quinze,0
21636,cent un; trois cent dix sept,1
